Treatment,Gene,Rep,Sex,Age
25C/Std,beat-vii,1,Female,3
25C/Std,beat-vii,2,Female,35
25C/Std,beat-vii,3,Female,21
25C/Std,beat-vii,4,Female,11
25C/Std,beat-vii,5,Female,21
25C/Std,beat-vii,6,Female,51
25C/Std,beat-vii,7,Female,32
25C/Std,beat-vii,8,Female,31
25C/Std,beat-vii,9,Female,56
25C/Std,beat-vii,10,Female,15
25C/Std,beat-vii,11,Female,14
25C/Std,beat-vii,13,Female,65
25C/Std,beat-vii,14,Female,25
25C/Std,beat-vii,15,Female,23
25C/Std,beat-vii,16,Female,63
25C/Std,beat-vii,1,Female,56
25C/Std,beat-vii,2,Female,74
25C/Std,beat-vii,3,Female,70
25C/Std,beat-vii,4,Female,77
25C/Std,beat-vii,5,Female,66
25C/Std,beat-vii,6,Female,65
25C/Std,beat-vii,7,Female,63
25C/Std,beat-vii,8,Female,79
25C/Std,beat-vii,10,Female,53
25C/Std,beat-vii,11,Female,39
25C/Std,beat-vii,12,Female,52
25C/Std,beat-vii,13,Female,65
25C/Std,beat-vii,14,Female,78
25C/Std,beat-vii,15,Female,72
25C/Std,beat-vii,16,Female,70
25C/Std,beat-vii,1,Female,21
25C/Std,beat-vii,3,Female,42
25C/Std,beat-vii,5,Female,65
25C/Std,beat-vii,6,Female,63
25C/Std,beat-vii,7,Female,49
25C/Std,beat-vii,8,Female,56
25C/Std,beat-vii,9,Female,56
25C/Std,beat-vii,11,Female,28
25C/Std,beat-vii,12,Female,51
25C/Std,beat-vii,13,Female,65
25C/Std,beat-vii,14,Female,65
25C/Std,beat-vii,15,Female,66
25C/Std,beat-vii,16,Female,67
25C/Std,beat-vii,33,Female,56
25C/Std,beat-vii,34,Female,84
25C/Std,beat-vii,35,Female,70
25C/Std,beat-vii,36,Female,63
25C/Std,beat-vii,38,Female,70
25C/Std,beat-vii,40,Female,66
25C/Std,beat-vii,41,Female,53
25C/Std,beat-vii,42,Female,70
25C/Std,beat-vii,44,Female,59
25C/Std,beat-vii,45,Female,60
25C/Std,beat-vii,46,Female,63
25C/Std,beat-vii,47,Female,84
25C/Std,beat-vii,48,Female,78
25C/Std,beat-vii,33,Female,18
25C/Std,beat-vii,34,Female,52
25C/Std,beat-vii,35,Female,49
25C/Std,beat-vii,36,Female,18
25C/Std,beat-vii,37,Female,16
25C/Std,beat-vii,38,Female,18
25C/Std,beat-vii,39,Female,56
25C/Std,beat-vii,40,Female,14
25C/Std,beat-vii,41,Female,16
25C/Std,beat-vii,42,Female,59
25C/Std,beat-vii,43,Female,56
25C/Std,beat-vii,44,Female,49
25C/Std,beat-vii,45,Female,28
25C/Std,beat-vii,46,Female,37
25C/Std,beat-vii,47,Female,18
25C/Std,beat-vii,48,Female,28
25C/Std,beat-vii,33,Female,51
25C/Std,beat-vii,34,Female,73
25C/Std,beat-vii,35,Female,57
25C/Std,beat-vii,36,Female,50
25C/Std,beat-vii,37,Female,66
25C/Std,beat-vii,38,Female,67
25C/Std,beat-vii,39,Female,70
25C/Std,beat-vii,40,Female,39
25C/Std,beat-vii,41,Female,49
25C/Std,beat-vii,42,Female,67
25C/Std,beat-vii,43,Female,67
25C/Std,beat-vii,44,Female,56
25C/Std,beat-vii,45,Female,29
25C/Std,beat-vii,46,Female,43
25C/Std,beat-vii,47,Female,84
25C/Std,beat-vii,48,Female,78
25C/Std,beat-vii,17,Female,72
25C/Std,beat-vii,18,Female,44
25C/Std,beat-vii,19,Female,77
25C/Std,beat-vii,21,Female,74
25C/Std,beat-vii,22,Female,70
25C/Std,beat-vii,23,Female,63
25C/Std,beat-vii,24,Female,79
25C/Std,beat-vii,25,Female,70
25C/Std,beat-vii,26,Female,81
25C/Std,beat-vii,27,Female,71
25C/Std,beat-vii,28,Female,70
25C/Std,beat-vii,31,Female,77
25C/Std,beat-vii,32,Female,80
25C/Std,beat-vii,17,Female,60
25C/Std,beat-vii,18,Female,23
25C/Std,beat-vii,19,Female,37
25C/Std,beat-vii,20,Female,28
25C/Std,beat-vii,21,Female,35
25C/Std,beat-vii,22,Female,21
25C/Std,beat-vii,23,Female,58
25C/Std,beat-vii,24,Female,42
25C/Std,beat-vii,26,Female,28
25C/Std,beat-vii,27,Female,28
25C/Std,beat-vii,28,Female,2
25C/Std,beat-vii,31,Female,38
25C/Std,beat-vii,32,Female,70
25C/Std,beat-vii,17,Female,63
25C/Std,beat-vii,18,Female,23
25C/Std,beat-vii,19,Female,71
25C/Std,beat-vii,20,Female,67
25C/Std,beat-vii,21,Female,63
25C/Std,beat-vii,22,Female,21
25C/Std,beat-vii,23,Female,58
25C/Std,beat-vii,24,Female,58
25C/Std,beat-vii,25,Female,49
25C/Std,beat-vii,26,Female,81
25C/Std,beat-vii,27,Female,49
25C/Std,beat-vii,28,Female,57
25C/Std,beat-vii,31,Female,49
25C/Std,beat-vii,32,Female,74
25C/Std,beat-vii,1,Male,67
25C/Std,beat-vii,2,Male,63
25C/Std,beat-vii,4,Male,23
25C/Std,beat-vii,5,Male,42
25C/Std,beat-vii,6,Male,46
25C/Std,beat-vii,7,Male,14
25C/Std,beat-vii,8,Male,30
25C/Std,beat-vii,9,Male,51
25C/Std,beat-vii,10,Male,7
25C/Std,beat-vii,11,Male,37
25C/Std,beat-vii,12,Male,51
25C/Std,beat-vii,13,Male,67
25C/Std,beat-vii,14,Male,42
25C/Std,beat-vii,15,Male,59
25C/Std,beat-vii,16,Male,56
25C/Std,beat-vii,2,Male,91
25C/Std,beat-vii,3,Male,91
25C/Std,beat-vii,4,Male,70
25C/Std,beat-vii,5,Male,70
25C/Std,beat-vii,6,Male,56
25C/Std,beat-vii,7,Male,60
25C/Std,beat-vii,8,Male,70
25C/Std,beat-vii,9,Male,65
25C/Std,beat-vii,10,Male,72
25C/Std,beat-vii,11,Male,39
25C/Std,beat-vii,12,Male,72
25C/Std,beat-vii,13,Male,70
25C/Std,beat-vii,14,Male,84
25C/Std,beat-vii,15,Male,98
25C/Std,beat-vii,16,Male,84
25C/Std,beat-vii,1,Male,70
25C/Std,beat-vii,2,Male,67
25C/Std,beat-vii,3,Male,74
25C/Std,beat-vii,4,Male,58
25C/Std,beat-vii,5,Male,63
25C/Std,beat-vii,6,Male,49
25C/Std,beat-vii,7,Male,60
25C/Std,beat-vii,8,Male,35
25C/Std,beat-vii,9,Male,63
25C/Std,beat-vii,10,Male,38
25C/Std,beat-vii,11,Male,39
25C/Std,beat-vii,12,Male,65
25C/Std,beat-vii,13,Male,70
25C/Std,beat-vii,14,Male,84
25C/Std,beat-vii,15,Male,63
25C/Std,beat-vii,16,Male,70
25C/Std,beat-vii,33,Male,53
25C/Std,beat-vii,34,Male,77
25C/Std,beat-vii,35,Male,53
25C/Std,beat-vii,36,Male,70
25C/Std,beat-vii,37,Male,67
25C/Std,beat-vii,38,Male,70
25C/Std,beat-vii,39,Male,56
25C/Std,beat-vii,41,Male,67
25C/Std,beat-vii,42,Male,65
25C/Std,beat-vii,43,Male,49
25C/Std,beat-vii,44,Male,49
25C/Std,beat-vii,45,Male,95
25C/Std,beat-vii,46,Male,70
25C/Std,beat-vii,47,Male,88
25C/Std,beat-vii,48,Male,91
25C/Std,beat-vii,33,Male,32
25C/Std,beat-vii,34,Male,14
25C/Std,beat-vii,35,Male,52
25C/Std,beat-vii,36,Male,42
25C/Std,beat-vii,37,Male,49
25C/Std,beat-vii,38,Male,58
25C/Std,beat-vii,39,Male,56
25C/Std,beat-vii,40,Male,14
25C/Std,beat-vii,41,Male,36
25C/Std,beat-vii,42,Male,32
25C/Std,beat-vii,43,Male,32
25C/Std,beat-vii,44,Male,28
25C/Std,beat-vii,46,Male,32
25C/Std,beat-vii,47,Male,78
25C/Std,beat-vii,48,Male,37
25C/Std,beat-vii,33,Male,39
25C/Std,beat-vii,34,Male,49
25C/Std,beat-vii,35,Male,52
25C/Std,beat-vii,36,Male,63
25C/Std,beat-vii,37,Male,63
25C/Std,beat-vii,38,Male,60
25C/Std,beat-vii,39,Male,56
25C/Std,beat-vii,40,Male,66
25C/Std,beat-vii,41,Male,46
25C/Std,beat-vii,42,Male,53
25C/Std,beat-vii,43,Male,35
25C/Std,beat-vii,44,Male,49
25C/Std,beat-vii,45,Male,88
25C/Std,beat-vii,46,Male,63
25C/Std,beat-vii,47,Male,81
25C/Std,beat-vii,48,Male,58
25C/Std,beat-vii,17,Male,67
25C/Std,beat-vii,18,Male,84
25C/Std,beat-vii,19,Male,70
25C/Std,beat-vii,20,Male,67
25C/Std,beat-vii,21,Male,88
25C/Std,beat-vii,22,Male,84
25C/Std,beat-vii,23,Male,63
25C/Std,beat-vii,24,Male,56
25C/Std,beat-vii,25,Male,49
25C/Std,beat-vii,26,Male,77
25C/Std,beat-vii,27,Male,70
25C/Std,beat-vii,28,Male,70
25C/Std,beat-vii,31,Male,85
25C/Std,beat-vii,17,Male,56
25C/Std,beat-vii,18,Male,21
25C/Std,beat-vii,19,Male,21
25C/Std,beat-vii,20,Male,14
25C/Std,beat-vii,22,Male,67
25C/Std,beat-vii,23,Male,42
25C/Std,beat-vii,24,Male,49
25C/Std,beat-vii,26,Male,2
25C/Std,beat-vii,27,Male,56
25C/Std,beat-vii,28,Male,28
25C/Std,beat-vii,31,Male,56
25C/Std,beat-vii,32,Male,43
25C/Std,beat-vii,17,Male,58
25C/Std,beat-vii,18,Male,56
25C/Std,beat-vii,19,Male,70
25C/Std,beat-vii,20,Male,30
25C/Std,beat-vii,21,Male,49
25C/Std,beat-vii,22,Male,70
25C/Std,beat-vii,23,Male,51
25C/Std,beat-vii,25,Male,28
25C/Std,beat-vii,26,Male,70
25C/Std,beat-vii,27,Male,67
25C/Std,beat-vii,28,Male,30
25C/Std,beat-vii,31,Male,77
25C/Std,beat-vii,32,Male,53
25C/Std,bru-3,1,Female,16
25C/Std,bru-3,2,Female,24
25C/Std,bru-3,3,Female,60
25C/Std,bru-3,4,Female,49
25C/Std,bru-3,5,Female,28
25C/Std,bru-3,7,Female,42
25C/Std,bru-3,8,Female,31
25C/Std,bru-3,9,Female,59
25C/Std,bru-3,10,Female,15
25C/Std,bru-3,12,Female,14
25C/Std,bru-3,13,Female,28
25C/Std,bru-3,14,Female,12
25C/Std,bru-3,15,Female,37
25C/Std,bru-3,16,Female,21
25C/Std,bru-3,1,Female,56
25C/Std,bru-3,2,Female,84
25C/Std,bru-3,3,Female,67
25C/Std,bru-3,4,Female,63
25C/Std,bru-3,5,Female,63
25C/Std,bru-3,6,Female,86
25C/Std,bru-3,7,Female,51
25C/Std,bru-3,8,Female,77
25C/Std,bru-3,9,Female,91
25C/Std,bru-3,10,Female,73
25C/Std,bru-3,12,Female,85
25C/Std,bru-3,13,Female,70
25C/Std,bru-3,14,Female,35
25C/Std,bru-3,15,Female,49
25C/Std,bru-3,16,Female,58
25C/Std,bru-3,1,Female,21
25C/Std,bru-3,2,Female,79
25C/Std,bru-3,3,Female,60
25C/Std,bru-3,4,Female,60
25C/Std,bru-3,5,Female,49
25C/Std,bru-3,6,Female,63
25C/Std,bru-3,7,Female,51
25C/Std,bru-3,8,Female,44
25C/Std,bru-3,9,Female,79
25C/Std,bru-3,10,Female,60
25C/Std,bru-3,12,Female,39
25C/Std,bru-3,13,Female,46
25C/Std,bru-3,14,Female,14
25C/Std,bru-3,15,Female,42
25C/Std,bru-3,16,Female,21
25C/Std,bru-3,34,Female,70
25C/Std,bru-3,35,Female,77
25C/Std,bru-3,38,Female,72
25C/Std,bru-3,39,Female,100
25C/Std,bru-3,40,Female,77
25C/Std,bru-3,41,Female,67
25C/Std,bru-3,42,Female,59
25C/Std,bru-3,43,Female,91
25C/Std,bru-3,45,Female,78
25C/Std,bru-3,47,Female,63
25C/Std,bru-3,48,Female,91
25C/Std,bru-3,33,Female,21
25C/Std,bru-3,34,Female,14
25C/Std,bru-3,35,Female,4
25C/Std,bru-3,36,Female,42
25C/Std,bru-3,37,Female,35
25C/Std,bru-3,38,Female,56
25C/Std,bru-3,39,Female,46
25C/Std,bru-3,40,Female,18
25C/Std,bru-3,42,Female,29
25C/Std,bru-3,43,Female,14
25C/Std,bru-3,45,Female,49
25C/Std,bru-3,46,Female,29
25C/Std,bru-3,47,Female,56
25C/Std,bru-3,48,Female,16
25C/Std,bru-3,33,Female,35
25C/Std,bru-3,34,Female,63
25C/Std,bru-3,35,Female,70
25C/Std,bru-3,36,Female,45
25C/Std,bru-3,37,Female,70
25C/Std,bru-3,38,Female,63
25C/Std,bru-3,39,Female,64
25C/Std,bru-3,40,Female,67
25C/Std,bru-3,41,Female,58
25C/Std,bru-3,42,Female,32
25C/Std,bru-3,43,Female,28
25C/Std,bru-3,45,Female,53
25C/Std,bru-3,46,Female,77
25C/Std,bru-3,47,Female,63
25C/Std,bru-3,48,Female,28
25C/Std,bru-3,17,Female,91
25C/Std,bru-3,18,Female,84
25C/Std,bru-3,19,Female,86
25C/Std,bru-3,20,Female,35
25C/Std,bru-3,21,Female,49
25C/Std,bru-3,22,Female,86
25C/Std,bru-3,23,Female,84
25C/Std,bru-3,25,Female,84
25C/Std,bru-3,26,Female,74
25C/Std,bru-3,29,Female,67
25C/Std,bru-3,31,Female,84
25C/Std,bru-3,32,Female,85
25C/Std,bru-3,17,Female,22
25C/Std,bru-3,18,Female,4
25C/Std,bru-3,19,Female,28
25C/Std,bru-3,21,Female,21
25C/Std,bru-3,22,Female,37
25C/Std,bru-3,23,Female,70
25C/Std,bru-3,25,Female,21
25C/Std,bru-3,26,Female,14
25C/Std,bru-3,27,Female,44
25C/Std,bru-3,29,Female,56
25C/Std,bru-3,30,Female,91
25C/Std,bru-3,31,Female,28
25C/Std,bru-3,32,Female,81
25C/Std,bru-3,17,Female,78
25C/Std,bru-3,18,Female,77
25C/Std,bru-3,19,Female,77
25C/Std,bru-3,20,Female,35
25C/Std,bru-3,21,Female,28
25C/Std,bru-3,22,Female,80
25C/Std,bru-3,23,Female,84
25C/Std,bru-3,25,Female,35
25C/Std,bru-3,26,Female,35
25C/Std,bru-3,27,Female,53
25C/Std,bru-3,29,Female,56
25C/Std,bru-3,30,Female,98
25C/Std,bru-3,31,Female,81
