Treatment,Gene,Rep,Sex,Age
25C/Std,bru-3,32,Female,84
25C/Std,bru-3,2,Male,58
25C/Std,bru-3,3,Male,51
25C/Std,bru-3,4,Male,42
25C/Std,bru-3,5,Male,63
25C/Std,bru-3,6,Male,37
25C/Std,bru-3,7,Male,17
25C/Std,bru-3,8,Male,60
25C/Std,bru-3,9,Male,1
25C/Std,bru-3,10,Male,1
25C/Std,bru-3,12,Male,49
25C/Std,bru-3,13,Male,30
25C/Std,bru-3,14,Male,66
25C/Std,bru-3,15,Male,35
25C/Std,bru-3,16,Male,14
25C/Std,bru-3,1,Male,79
25C/Std,bru-3,2,Male,88
25C/Std,bru-3,3,Male,77
25C/Std,bru-3,4,Male,65
25C/Std,bru-3,5,Male,67
25C/Std,bru-3,6,Male,53
25C/Std,bru-3,8,Male,91
25C/Std,bru-3,9,Male,39
25C/Std,bru-3,10,Male,67
25C/Std,bru-3,11,Male,63
25C/Std,bru-3,12,Male,81
25C/Std,bru-3,13,Male,53
25C/Std,bru-3,14,Male,84
25C/Std,bru-3,15,Male,81
25C/Std,bru-3,16,Male,56
25C/Std,bru-3,1,Male,63
25C/Std,bru-3,2,Male,60
25C/Std,bru-3,3,Male,70
25C/Std,bru-3,4,Male,63
25C/Std,bru-3,5,Male,63
25C/Std,bru-3,6,Male,51
25C/Std,bru-3,7,Male,35
25C/Std,bru-3,8,Male,70
25C/Std,bru-3,9,Male,8
25C/Std,bru-3,10,Male,65
25C/Std,bru-3,11,Male,42
25C/Std,bru-3,12,Male,58
25C/Std,bru-3,13,Male,37
25C/Std,bru-3,14,Male,84
25C/Std,bru-3,15,Male,77
25C/Std,bru-3,16,Male,37
25C/Std,bru-3,33,Male,84
25C/Std,bru-3,35,Male,77
25C/Std,bru-3,36,Male,70
25C/Std,bru-3,38,Male,67
25C/Std,bru-3,39,Male,91
25C/Std,bru-3,40,Male,70
25C/Std,bru-3,41,Male,56
25C/Std,bru-3,42,Male,73
25C/Std,bru-3,43,Male,44
25C/Std,bru-3,45,Male,70
25C/Std,bru-3,46,Male,92
25C/Std,bru-3,47,Male,77
25C/Std,bru-3,48,Male,52
25C/Std,bru-3,34,Male,63
25C/Std,bru-3,35,Male,10
25C/Std,bru-3,36,Male,63
25C/Std,bru-3,37,Male,46
25C/Std,bru-3,38,Male,53
25C/Std,bru-3,39,Male,18
25C/Std,bru-3,40,Male,67
25C/Std,bru-3,42,Male,30
25C/Std,bru-3,45,Male,2
25C/Std,bru-3,46,Male,4
25C/Std,bru-3,47,Male,56
25C/Std,bru-3,48,Male,14
25C/Std,bru-3,33,Male,73
25C/Std,bru-3,34,Male,77
25C/Std,bru-3,35,Male,21
25C/Std,bru-3,36,Male,65
25C/Std,bru-3,37,Male,63
25C/Std,bru-3,38,Male,58
25C/Std,bru-3,39,Male,57
25C/Std,bru-3,41,Male,35
25C/Std,bru-3,42,Male,58
25C/Std,bru-3,43,Male,28
25C/Std,bru-3,45,Male,42
25C/Std,bru-3,46,Male,51
25C/Std,bru-3,47,Male,63
25C/Std,bru-3,48,Male,44
25C/Std,bru-3,17,Male,63
25C/Std,bru-3,18,Male,49
25C/Std,bru-3,19,Male,49
25C/Std,bru-3,20,Male,72
25C/Std,bru-3,21,Male,71
25C/Std,bru-3,22,Male,79
25C/Std,bru-3,23,Male,70
25C/Std,bru-3,26,Male,84
25C/Std,bru-3,27,Male,70
25C/Std,bru-3,29,Male,56
25C/Std,bru-3,30,Male,21
25C/Std,bru-3,31,Male,63
25C/Std,bru-3,17,Male,35
25C/Std,bru-3,18,Male,35
25C/Std,bru-3,19,Male,27
25C/Std,bru-3,20,Male,70
25C/Std,bru-3,21,Male,67
25C/Std,bru-3,22,Male,2
25C/Std,bru-3,23,Male,53
25C/Std,bru-3,25,Male,56
25C/Std,bru-3,26,Male,77
25C/Std,bru-3,27,Male,7
25C/Std,bru-3,29,Male,53
25C/Std,bru-3,30,Male,16
25C/Std,bru-3,31,Male,29
25C/Std,bru-3,32,Male,32
25C/Std,bru-3,17,Male,49
25C/Std,bru-3,19,Male,38
25C/Std,bru-3,20,Male,72
25C/Std,bru-3,21,Male,70
25C/Std,bru-3,22,Male,51
25C/Std,bru-3,23,Male,56
25C/Std,bru-3,25,Male,60
25C/Std,bru-3,26,Male,77
25C/Std,bru-3,27,Male,58
25C/Std,bru-3,30,Male,21
25C/Std,bru-3,32,Male,56
25C/Std,CG11828,1,Female,49
25C/Std,CG11828,2,Female,50
25C/Std,CG11828,3,Female,70
25C/Std,CG11828,4,Female,49
25C/Std,CG11828,5,Female,2
25C/Std,CG11828,6,Female,44
25C/Std,CG11828,7,Female,44
25C/Std,CG11828,9,Female,35
25C/Std,CG11828,10,Female,58
25C/Std,CG11828,11,Female,63
25C/Std,CG11828,12,Female,60
25C/Std,CG11828,13,Female,9
25C/Std,CG11828,14,Female,21
25C/Std,CG11828,15,Female,63
25C/Std,CG11828,16,Female,31
25C/Std,CG11828,1,Female,91
25C/Std,CG11828,2,Female,81
25C/Std,CG11828,3,Female,91
25C/Std,CG11828,4,Female,84
25C/Std,CG11828,5,Female,14
25C/Std,CG11828,6,Female,74
25C/Std,CG11828,7,Female,56
25C/Std,CG11828,8,Female,49
25C/Std,CG11828,9,Female,56
25C/Std,CG11828,10,Female,77
25C/Std,CG11828,11,Female,77
25C/Std,CG11828,12,Female,81
25C/Std,CG11828,13,Female,58
25C/Std,CG11828,14,Female,51
25C/Std,CG11828,15,Female,79
25C/Std,CG11828,16,Female,70
25C/Std,CG11828,1,Female,65
25C/Std,CG11828,2,Female,63
25C/Std,CG11828,3,Female,84
25C/Std,CG11828,4,Female,77
25C/Std,CG11828,5,Female,14
25C/Std,CG11828,6,Female,74
25C/Std,CG11828,7,Female,50
25C/Std,CG11828,8,Female,37
25C/Std,CG11828,9,Female,35
25C/Std,CG11828,10,Female,58
25C/Std,CG11828,11,Female,74
25C/Std,CG11828,12,Female,67
25C/Std,CG11828,13,Female,56
25C/Std,CG11828,14,Female,37
25C/Std,CG11828,15,Female,70
25C/Std,CG11828,16,Female,53
25C/Std,CG11828,33,Female,70
25C/Std,CG11828,34,Female,70
25C/Std,CG11828,35,Female,84
25C/Std,CG11828,36,Female,60
25C/Std,CG11828,39,Female,93
25C/Std,CG11828,40,Female,72
25C/Std,CG11828,41,Female,77
25C/Std,CG11828,42,Female,79
25C/Std,CG11828,43,Female,91
25C/Std,CG11828,44,Female,81
25C/Std,CG11828,45,Female,95
25C/Std,CG11828,46,Female,91
25C/Std,CG11828,47,Female,28
25C/Std,CG11828,48,Female,58
25C/Std,CG11828,33,Female,28
25C/Std,CG11828,34,Female,38
25C/Std,CG11828,35,Female,2
25C/Std,CG11828,36,Female,14
25C/Std,CG11828,37,Female,45
25C/Std,CG11828,38,Female,36
25C/Std,CG11828,39,Female,16
25C/Std,CG11828,40,Female,67
25C/Std,CG11828,41,Female,32
25C/Std,CG11828,42,Female,63
25C/Std,CG11828,44,Female,67
25C/Std,CG11828,45,Female,28
25C/Std,CG11828,46,Female,77
25C/Std,CG11828,47,Female,28
25C/Std,CG11828,48,Female,22
25C/Std,CG11828,33,Female,49
25C/Std,CG11828,34,Female,39
25C/Std,CG11828,35,Female,72
25C/Std,CG11828,36,Female,31
25C/Std,CG11828,37,Female,84
25C/Std,CG11828,38,Female,79
25C/Std,CG11828,39,Female,84
25C/Std,CG11828,40,Female,71
25C/Std,CG11828,41,Female,77
25C/Std,CG11828,42,Female,65
25C/Std,CG11828,43,Female,72
25C/Std,CG11828,45,Female,56
25C/Std,CG11828,46,Female,88
25C/Std,CG11828,47,Female,28
25C/Std,CG11828,48,Female,57
25C/Std,CG11828,17,Female,56
25C/Std,CG11828,18,Female,60
25C/Std,CG11828,19,Female,81
25C/Std,CG11828,20,Female,91
25C/Std,CG11828,21,Female,86
25C/Std,CG11828,22,Female,70
25C/Std,CG11828,24,Female,93
25C/Std,CG11828,25,Female,84
25C/Std,CG11828,26,Female,81
25C/Std,CG11828,27,Female,74
25C/Std,CG11828,28,Female,91
25C/Std,CG11828,29,Female,77
25C/Std,CG11828,31,Female,79
25C/Std,CG11828,32,Female,78
25C/Std,CG11828,17,Female,35
25C/Std,CG11828,18,Female,37
25C/Std,CG11828,19,Female,2
25C/Std,CG11828,20,Female,52
25C/Std,CG11828,21,Female,21
25C/Std,CG11828,22,Female,1
25C/Std,CG11828,24,Female,53
25C/Std,CG11828,25,Female,77
25C/Std,CG11828,26,Female,56
25C/Std,CG11828,27,Female,39
25C/Std,CG11828,28,Female,77
25C/Std,CG11828,29,Female,58
25C/Std,CG11828,31,Female,16
25C/Std,CG11828,32,Female,71
25C/Std,CG11828,17,Female,51
25C/Std,CG11828,18,Female,58
25C/Std,CG11828,19,Female,16
25C/Std,CG11828,20,Female,84
25C/Std,CG11828,21,Female,65
25C/Std,CG11828,22,Female,21
25C/Std,CG11828,24,Female,56
25C/Std,CG11828,25,Female,77
25C/Std,CG11828,26,Female,77
25C/Std,CG11828,27,Female,67
25C/Std,CG11828,28,Female,87
25C/Std,CG11828,29,Female,66
25C/Std,CG11828,31,Female,72
25C/Std,CG11828,32,Female,73
25C/Std,CG11828,2,Male,63
25C/Std,CG11828,4,Male,43
25C/Std,CG11828,6,Male,50
25C/Std,CG11828,7,Male,32
25C/Std,CG11828,8,Male,35
25C/Std,CG11828,9,Male,46
25C/Std,CG11828,10,Male,77
25C/Std,CG11828,11,Male,49
25C/Std,CG11828,12,Male,50
25C/Std,CG11828,13,Male,32
25C/Std,CG11828,15,Male,42
25C/Std,CG11828,16,Male,7
25C/Std,CG11828,2,Male,70
25C/Std,CG11828,3,Male,21
25C/Std,CG11828,4,Male,84
25C/Std,CG11828,5,Male,28
25C/Std,CG11828,6,Male,74
25C/Std,CG11828,7,Male,77
25C/Std,CG11828,8,Male,91
25C/Std,CG11828,9,Male,53
25C/Std,CG11828,10,Male,91
25C/Std,CG11828,11,Male,70
25C/Std,CG11828,12,Male,77
25C/Std,CG11828,13,Male,84
25C/Std,CG11828,14,Male,46
25C/Std,CG11828,15,Male,65
25C/Std,CG11828,16,Male,70
25C/Std,CG11828,2,Male,67
25C/Std,CG11828,3,Male,7
25C/Std,CG11828,4,Male,77
25C/Std,CG11828,5,Male,22
25C/Std,CG11828,6,Male,65
25C/Std,CG11828,7,Male,42
25C/Std,CG11828,8,Male,46
25C/Std,CG11828,9,Male,49
25C/Std,CG11828,10,Male,88
25C/Std,CG11828,11,Male,49
25C/Std,CG11828,12,Male,70
25C/Std,CG11828,13,Male,49
25C/Std,CG11828,14,Male,39
25C/Std,CG11828,16,Male,49
25C/Std,CG11828,33,Male,49
25C/Std,CG11828,34,Male,98
25C/Std,CG11828,35,Male,88
25C/Std,CG11828,36,Male,42
25C/Std,CG11828,37,Male,63
25C/Std,CG11828,39,Male,91
25C/Std,CG11828,40,Male,84
25C/Std,CG11828,41,Male,77
25C/Std,CG11828,42,Male,77
25C/Std,CG11828,43,Male,63
25C/Std,CG11828,45,Male,28
25C/Std,CG11828,33,Male,7
25C/Std,CG11828,35,Male,84
25C/Std,CG11828,36,Male,10
25C/Std,CG11828,37,Male,2
25C/Std,CG11828,38,Male,56
25C/Std,CG11828,39,Male,72
25C/Std,CG11828,40,Male,42
25C/Std,CG11828,41,Male,63
25C/Std,CG11828,42,Male,35
25C/Std,CG11828,43,Male,53
25C/Std,CG11828,44,Male,42
25C/Std,CG11828,45,Male,28
25C/Std,CG11828,46,Male,28
25C/Std,CG11828,47,Male,28
25C/Std,CG11828,48,Male,30
25C/Std,CG11828,33,Male,36
25C/Std,CG11828,34,Male,56
25C/Std,CG11828,36,Male,28
25C/Std,CG11828,37,Male,63
25C/Std,CG11828,38,Male,63
25C/Std,CG11828,39,Male,81
25C/Std,CG11828,40,Male,79
25C/Std,CG11828,41,Male,72
25C/Std,CG11828,42,Male,56
25C/Std,CG11828,44,Male,45
25C/Std,CG11828,45,Male,28
25C/Std,CG11828,46,Male,53
25C/Std,CG11828,47,Male,28
25C/Std,CG11828,48,Male,49
25C/Std,CG11828,17,Male,46
25C/Std,CG11828,18,Male,84
25C/Std,CG11828,19,Male,56
25C/Std,CG11828,21,Male,81
25C/Std,CG11828,22,Male,87
25C/Std,CG11828,24,Male,77
25C/Std,CG11828,25,Male,56
25C/Std,CG11828,26,Male,56
25C/Std,CG11828,27,Male,49
25C/Std,CG11828,28,Male,60
25C/Std,CG11828,29,Male,72
25C/Std,CG11828,30,Male,84
25C/Std,CG11828,31,Male,63
25C/Std,CG11828,32,Male,77
25C/Std,CG11828,17,Male,2
25C/Std,CG11828,18,Male,60
25C/Std,CG11828,19,Male,1
25C/Std,CG11828,20,Male,4
25C/Std,CG11828,21,Male,56
25C/Std,CG11828,22,Male,1
25C/Std,CG11828,24,Male,23
25C/Std,CG11828,27,Male,35
25C/Std,CG11828,29,Male,66
25C/Std,CG11828,30,Male,77
25C/Std,CG11828,31,Male,21
25C/Std,CG11828,32,Male,56
25C/Std,CG11828,18,Male,70
25C/Std,CG11828,19,Male,51
25C/Std,CG11828,20,Male,70
25C/Std,CG11828,22,Male,49
25C/Std,CG11828,25,Male,49
25C/Std,CG11828,26,Male,42
25C/Std,CG11828,27,Male,49
25C/Std,CG11828,28,Male,56
25C/Std,CG11828,29,Male,67
25C/Std,CG11828,31,Male,56
25C/Std,CG13921,1,Female,21
25C/Std,CG13921,2,Female,17
25C/Std,CG13921,3,Female,25
25C/Std,CG13921,4,Female,23
25C/Std,CG13921,5,Female,45
25C/Std,CG13921,6,Female,59
25C/Std,CG13921,7,Female,18
25C/Std,CG13921,8,Female,70
25C/Std,CG13921,9,Female,67
