Treatment,Gene,Rep,Sex,Age
28C/Std,bru-3,1,Female,18
28C/Std,bru-3,6,Female,18
28C/Std,bru-3,8,Female,51
28C/Std,bru-3,9,Female,21
28C/Std,bru-3,14,Female,23
28C/Std,bru-3,19,Female,14
28C/Std,bru-3,20,Female,21
28C/Std,bru-3,21,Female,24
28C/Std,bru-3,22,Female,25
28C/Std,bru-3,23,Female,21
28C/Std,bru-3,24,Female,35
28C/Std,bru-3,25,Female,14
28C/Std,bru-3,26,Female,24
28C/Std,bru-3,27,Female,14
28C/Std,bru-3,28,Female,14
28C/Std,bru-3,30,Female,35
28C/Std,bru-3,31,Female,37
28C/Std,bru-3,36,Female,7
28C/Std,bru-3,38,Female,39
28C/Std,bru-3,39,Female,21
28C/Std,bru-3,41,Female,21
28C/Std,bru-3,42,Female,39
28C/Std,bru-3,43,Female,49
28C/Std,bru-3,44,Female,49
28C/Std,bru-3,45,Female,25
28C/Std,bru-3,46,Female,23
28C/Std,bru-3,47,Female,42
28C/Std,bru-3,48,Female,37
28C/Std,bru-3,5,Female,56
28C/Std,bru-3,6,Female,63
28C/Std,bru-3,8,Female,56
28C/Std,bru-3,9,Female,21
28C/Std,bru-3,14,Female,36
28C/Std,bru-3,15,Female,63
28C/Std,bru-3,17,Female,30
28C/Std,bru-3,20,Female,39
28C/Std,bru-3,21,Female,44
28C/Std,bru-3,22,Female,35
28C/Std,bru-3,23,Female,39
28C/Std,bru-3,24,Female,39
28C/Std,bru-3,25,Female,31
28C/Std,bru-3,26,Female,36
28C/Std,bru-3,27,Female,42
28C/Std,bru-3,28,Female,28
28C/Std,bru-3,29,Female,39
28C/Std,bru-3,30,Female,39
28C/Std,bru-3,31,Female,42
28C/Std,bru-3,32,Female,49
28C/Std,bru-3,33,Female,56
28C/Std,bru-3,34,Female,46
28C/Std,bru-3,35,Female,45
28C/Std,bru-3,36,Female,42
28C/Std,bru-3,38,Female,47
28C/Std,bru-3,39,Female,44
28C/Std,bru-3,41,Female,51
28C/Std,bru-3,42,Female,43
28C/Std,bru-3,43,Female,53
28C/Std,bru-3,45,Female,49
28C/Std,bru-3,46,Female,49
28C/Std,bru-3,47,Female,47
28C/Std,bru-3,1,Female,50
28C/Std,bru-3,5,Female,63
28C/Std,bru-3,6,Female,63
28C/Std,bru-3,8,Female,56
28C/Std,bru-3,9,Female,60
28C/Std,bru-3,15,Female,65
28C/Std,bru-3,17,Female,44
28C/Std,bru-3,19,Female,28
28C/Std,bru-3,20,Female,49
28C/Std,bru-3,21,Female,49
28C/Std,bru-3,22,Female,56
28C/Std,bru-3,23,Female,42
28C/Std,bru-3,24,Female,58
28C/Std,bru-3,25,Female,51
28C/Std,bru-3,26,Female,49
28C/Std,bru-3,27,Female,44
28C/Std,bru-3,28,Female,53
28C/Std,bru-3,29,Female,46
28C/Std,bru-3,30,Female,46
28C/Std,bru-3,32,Female,53
28C/Std,bru-3,33,Female,70
28C/Std,bru-3,34,Female,46
