Line,Sex,Rep,Age,Block,Temperature
21,Female,1,78,1,18C
21,Female,1,97,1,18C
21,Female,1,.,1,18C
21,Male,1,57,1,18C
21,Male,1,82,1,18C
21,Male,1,90,1,18C
21,Female,2,25,1,18C
21,Female,2,88,1,18C
21,Female,2,95,1,18C
21,Male,2,95,1,18C
21,Male,2,97,1,18C
21,Male,2,123,1,18C
21,Female,3,75,1,18C
21,Female,3,95,1,18C
21,Female,3,127,1,18C
21,Male,3,83,1,18C
21,Male,3,92,1,18C
21,Male,3,.,1,18C
21,Female,4,53,1,18C
21,Female,4,53,1,18C
21,Female,4,92,1,18C
21,Male,4,95,1,18C
21,Male,4,120,1,18C
21,Male,4,.,1,18C
21,Female,5,78,1,18C
21,Female,5,82,1,18C
21,Female,5,.,1,18C
21,Male,5,83,1,18C
21,Male,5,92,1,18C
21,Male,5,123,1,18C
21,Female,6,95,1,18C
21,Female,6,123,1,18C
21,Female,6,127,1,18C
21,Male,6,81,1,18C
21,Male,6,83,1,18C
21,Male,6,95,1,18C
21,Female,7,85,1,18C
21,Female,7,97,1,18C
21,Female,7,.,1,18C
21,Male,7,85,1,18C
21,Male,7,95,1,18C
21,Male,7,.,1,18C
21,Female,8,13,1,18C
21,Female,8,97,1,18C
21,Female,8,.,1,18C
21,Male,8,25,1,18C
21,Male,8,83,1,18C
21,Male,8,137,1,18C
21,Female,9,81,1,18C
21,Female,9,92,1,18C
21,Female,9,109,1,18C
21,Male,9,53,1,18C
21,Male,9,118,1,18C
21,Male,9,126,1,18C
21,Female,10,39,1,18C
21,Female,10,75,1,18C
21,Female,10,116,1,18C
21,Male,10,118,1,18C
21,Male,10,130,1,18C
21,Male,10,.,1,18C
21,Female,11,92,1,18C
21,Female,11,95,1,18C
21,Female,11,95,1,18C
21,Male,11,92,1,18C
21,Male,11,92,1,18C
21,Male,11,95,1,18C
21,Female,12,109,1,18C
21,Female,12,118,1,18C
21,Female,12,124,1,18C
21,Male,12,71,1,18C
21,Male,12,124,1,18C
21,Male,12,.,1,18C
21,Female,13,82,1,18C
21,Female,13,139,1,18C
21,Female,13,.,1,18C
21,Male,13,43,1,18C
21,Male,13,82,1,18C
21,Male,13,.,1,18C
21,Female,14,68,1,18C
21,Female,14,90,1,18C
21,Female,14,.,1,18C
21,Male,14,81,1,18C
21,Male,14,82,1,18C
21,Male,14,92,1,18C
21,Female,15,60,1,18C
21,Female,15,105,1,18C
21,Female,15,.,1,18C
21,Male,15,68,1,18C
21,Male,15,75,1,18C
21,Male,15,75,1,18C
21,Female,16,57,1,18C
21,Female,16,78,1,18C
21,Female,16,90,1,18C
21,Male,16,53,1,18C
21,Male,16,92,1,18C
21,Male,16,92,1,18C
21,Female,17,78,1,18C
21,Female,17,90,1,18C
21,Female,17,.,1,18C
21,Male,17,64,1,18C
21,Male,17,76,1,18C
21,Male,17,98,1,18C
21,Female,18,99,1,18C
21,Female,18,103,1,18C
21,Female,18,109,1,18C
21,Male,18,89,1,18C
21,Male,18,96,1,18C
21,Male,18,.,1,18C
21,Female,19,46,1,18C
21,Female,19,67,1,18C
21,Female,19,95,1,18C
21,Male,19,64,1,18C
21,Male,19,70,1,18C
21,Male,19,96,1,18C
21,Female,20,46,1,18C
21,Female,20,56,1,18C
21,Female,20,67,1,18C
21,Male,20,12,1,18C
21,Male,20,74,1,18C
21,Male,20,116,1,18C
21,Female,21,54,1,18C
21,Female,21,84,1,18C
21,Female,21,92,1,18C
21,Male,21,103,1,18C
21,Male,21,145,1,18C
21,Male,21,.,1,18C
21,Female,22,64,1,18C
21,Female,22,70,1,18C
21,Female,22,76,1,18C
21,Male,22,64,1,18C
21,Male,22,81,1,18C
21,Male,22,85,1,18C
21,Female,23,75,1,18C
21,Female,23,81,1,18C
21,Female,23,83,1,18C
21,Male,23,75,1,18C
21,Male,23,82,1,18C
21,Male,23,132,1,18C
21,Female,24,12,1,18C
21,Female,24,12,1,18C
21,Female,24,82,1,18C
21,Male,24,12,1,18C
21,Male,24,78,1,18C
21,Male,24,.,1,18C
26,Female,1,40,1,18C
26,Female,1,41,1,18C
26,Female,1,59,1,18C
26,Male,1,53,1,18C
26,Male,1,53,1,18C
26,Male,1,56,1,18C
26,Female,2,52,1,18C
26,Female,2,52,1,18C
26,Female,2,53,1,18C
26,Male,2,40,1,18C
26,Male,2,70,1,18C
